"Grant.ID","category","date","description","amount"
"2253243-2021","Educational Materials","
  2022-12-30","
  books, laparoscopic training and testing, SIM supplies","
  17007.7
"
"2253243-2021","Educational Workshops, Conferences or Retreat","
  2022-12-30","
  board prep course","
  6275
"
"2253243-2021","Faculty Development","
  2022-12-30","
  Faculty Development Seminar","
  1324.67
"
"2253243-2021","Meals","
  2022-12-30","
  Intern welcome food","
  850.83
"
"2253243-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-30","
  program, faculty, and resident society memberships","
  3845
"
"2253243-2021","Resident Well-Being","
  2022-12-30","
  intern relocation stipends  and resident wellness activities","
  11713.56
"
"2253243-2021","Recruitment","
  2022-12-30","
  recruitment items","
  1155
"
"2253243-2021","Scholarship","
  2022-12-30","
  URiM med student scholarship support","
  505.44
"
"2253243-2021","Salaries, Benefits and Wages","
  2022-12-30","
  .5 FTE GME admin support and faculty salary","
  30480.66
"
"2253243-2021","Unused Funds","
  2022-12-30","
  We plan to utilize the remaining funds over the next period as follows: Educational materials ($25,000), faculty development ($10,947.48), graduation expenses ($25,000), faculty membership to professional societies ($25,000), resident scrubs ($5,000), resident wellness events ($30,000), rotation housing ($50,000), GME administrative personnel ($55,000), and faculty salaries ($30,000).","
  255947.48
"
"2253238-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Indu Kannan Salary, Benefits &amp; Wages","
  45612.17
"
"2253238-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Chiyah Lawrence Salary, Benefits &amp; Wages ","
  62119.95
"
"2253238-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Kathy Garcia Salary, Benefits &amp; Wages","
  21572.22
"
"2253238-1920","Educational Workshops, Conferences or Retreat","
  2022-12-28","
  Intern Bootcamp Workshop, AAP National Conference, Medstudy Course","
  11173.5
"
"2253238-1920","Educational Materials","
  2022-12-30","
  Newborn book, atlas of procedures, Question Bank","
  1484.04
"
"2253238-1920","Meals","
  2022-11-10","
  Resident retreat meeting meal","
  1158.94
"
"2253238-1920","Resident Well-Being","
  2022-11-30","
  Wellness Supplies","
  25.62
"
"2253238-1920","Unused Funds","
  2022-12-30","
  Unused","
  17.91
"
"2253238-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Valerie Haas Salary, Benefits","
  4552.01
"
"2253238-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Indu Kannan Salary, Benefits","
  91237
"
"2253238-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Roxanne Chang Salary Benefits","
  13146.3
"
"2253238-2021","Educational Materials","
  2022-12-30","
  Medstudy, Medical Spanish, Atlas Board review, How to talk to kids, Socrative learning app","
  2044.7
"
"2253238-2021","Meals","
  2022-12-30","
  DEI Lunch, Wellness Lunch","
  241.98
"
"2253238-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-10-28","
  Thalmus subscription","
  2840
"
"2253238-2021","Faculty Development","
  2022-09-20","
  Match 2023 Training ","
  300
"
"2253238-2021","Travel","
  2022-12-30","
  PHM Conference , APPD Fall conference travel","
  1797.14
"
"2253238-2021","Unused Funds","
  2022-12-30","
  unused","
  96783.76
"
"2253238-2122","Graduation","
  2023-07-02","
  Graduation Site deposit 7/25/2022","
  2400
"
"2253238-2122","Memberships, Subscriptions, and Professional Activity Costs","
  2023-07-02","
  12/30/2022 APPD Dues, American Academy Dues, Subscription","
  5991.58
"
"2253238-2122","Travel","
  2023-07-02","
  APPD travel 11/30/2022","
  136.89
"
"2253238-2122","Resident Well-Being","
  2023-07-02","
  White coat  10/28/2022","
  128.11
"
"2253238-2122","Unused Funds","
  2023-07-02","
  The remaining funds will be used to support the salary and fringe benefits of a faculty member directly involved in the direct teaching of the residents as well as to support resident wellness activities and resident attendance at conferences.","
  41343.42
"
"2253261-1920","Salaries, Benefits and Wages","
  2022-12-30","
  wages and benefits for faculty, staff and residents.","
  75000
"
"2253261-2021","Salaries, Benefits and Wages","
  2022-12-30","
  wages and benefits for faculty, staff and residents.","
  75000
"
"2253261-2122","Salaries, Benefits and Wages","
  2022-12-30","
  resident, staff and faculty wages and benefits","
  112500
"
"2253162-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  90000
"
"2253162-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  30000
"
"2253162-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Funds were used for resident salaries, benefits and wages. ","
  30000
"
"2253186-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  60000
"
"2253186-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  30000
"
"2253186-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  85000
"
"2253218-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  120000
"
"2253218-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  50000
"
"2253218-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Funds will be used for resident salaries, benefits, and wages.","
  75000
"
"2253282-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  50000
"
"2253241-1819","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  187500
"
"2253241-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  110000
"
"2253241-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  125000
"
"2253241-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  135000
"
"2253237-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  125000
"
"2253237-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  125000
"
"2253237-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Funds used for resident salaries, benefits and wages.","
  125000
"
"2253272-2021","Contractual and Consultant Costs","
  2022-12-15","
  Online subscriptions","
  15000
"
"2253272-2021","Meals","
  2022-12-29","
  MeALS FOR RESIDENTS ","
  11899
"
"2253272-2021","Medical Equipment","
  2022-09-01","
  Medical Stimulators","
  4274
"
"2253272-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-20","
  Subscriptions and Memberships","
  2318
"
"2253272-2021","Faculty Development","
  2022-11-14","
  Faculty Development","
  1000
"
"2253272-2021","Resident Well-Being","
  2022-12-03","
  Resident Well Being","
  2500
"
"2253272-2021","Recruitment","
  2022-12-15","
  Resident Recruitment-Interview costs","
  509
"
"2253272-2122","Educational Materials","
  2022-09-14","
  Online subscriptions","
  1824
"
"2253272-2122","Recruitment","
  2022-08-17","
  NRMP registation","
  2500
"
"2253272-2122","Travel","
  2022-09-08","
  Tuition","
  475
"
"2253272-2122","Educational Workshops, Conferences or Retreat","
  2022-09-15","
  TAGME Review Materials","
  400
"
"2253272-2122","Contractual and Consultant Costs","
  2022-10-04","
  Cellular support","
  1000
"
"2253272-2122","Licensing Fees","
  2022-12-20","
  USMLE Step 3","
  8400
"
"2253272-2122","Graduation","
  2022-12-15","
  Graduation Deposit","
  1000
"
"2253272-2122","Licensing Fees","
  2022-09-12","
  Medical Board Licensing fees","
  10800
"
"2253272-2122","Contractual and Consultant Costs","
  2022-09-28","
  Consulting and Contractual Costs","
  11101
"
"2253273-2021","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  75000
"
"2253273-2122","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  37500
"
"2253188-2021","Salaries, Benefits and Wages","
  2022-12-01","
  Faculty Salaries, benefits, and wages","
  25000
"
"2253188-2122","Salaries, Benefits and Wages","
  2022-12-01","
  Faculty salaries, benefits, and wages","
  25000
"
"2253245-1819","Salaries, Benefits and Wages","
  2022-12-01","
  faculty salaries, benefits, and wages.","
  37500
"
"2253245-1920","Salaries, Benefits and Wages","
  2022-12-01","
  Faculty salaries, benefits, and wages.","
  112500
"
"2253245-2021","Salaries, Benefits and Wages","
  2022-12-01","
  Faculty salaries, benefits, and wages.","
  112500
"
"2253245-2122","Salaries, Benefits and Wages","
  2022-12-01","
  Faculty salaries, benefits, and wages.","
  75000
"
"2253189-1920","Salaries, Benefits and Wages","
  2022-12-30","
  8% of Resident Salaries","
  25000
"
"2253189-2021","Salaries, Benefits and Wages","
  2022-12-30","
  9.3% of Resident Salaries","
  25000
"
"2253189-2122","Salaries, Benefits and Wages","
  2022-07-03","
  12% of Resident Salaries","
  30000
"
"2253189-2122","Salaries, Benefits and Wages","
  2022-07-03","
  18% of Medical Faculty expenses","
  45000
"
"2253283-2122","Contractual and Consultant Costs","
  2022-12-30","
  Contract labor for Institutional Coordinator","
  10479
"
"2253283-2122","Insurance","
  2022-08-01","
  Malpractice Insurance costs","
  19523
"
"2253283-2122","Licensing Fees","
  2022-11-09","
  Testing and certification fees","
  7498
"
"2253190-1920","Salaries, Benefits and Wages","
  2022-12-30","
  MAT Coordinator salary and expenses","
  6727.59
"
"2253190-1920","Unused Funds","
  2022-12-30","
  POCUS Course for 20 Residents/Faculty","
  25000
"
"2253190-1920","Unused Funds","
  2022-12-30","
  Chief Resident Conference","
  5000
"
"2253190-1920","Unused Funds","
  2022-12-30","
  GUSI Course for 7 Residents/Faculty","
  7000
"
"2253190-1920","Unused Funds","
  2022-12-30","
  Resident Leadership Symposium x4","
  10000
"
"2253190-1920","Unused Funds","
  2022-12-30","
  Society of Teachers of Family Medicine Conference x4","
  10000
"
"2253190-1920","Unused Funds","
  2022-12-30","
  Fellowship Travel","
  4320.22
"
"2253190-2021","Unused Funds","
  2022-12-30","
  Newborn Simulator","
  46000
"
"2253190-2021","Unused Funds","
  2022-12-30","
  Community Medicine Educator Salary","
  29000
"
"2253190-2122","Unused Funds","
  2022-12-30","
  UCSF Faculty Appointments","
  12200
"
"2253190-2122","Unused Funds","
  2022-12-30","
  Intern Licenses","
  4200
"
"2253190-2122","Unused Funds","
  2022-12-30","
  Spanish Language Support","
  5000
"
"2253190-2122","Unused Funds","
  2022-12-30","
  Resident Graduation","
  3600
"
"2253192-2021","Salaries, Benefits and Wages","
  2022-12-31","
  Salaries, Benefits &amp; Wages for Residency Coordinator and  other GME Office Staff","
  30000
"
"2253192-2122","Recruitment","
  2022-12-30","
  Purchases and Expenses for recruitment of residents","
  17000
"
"2253192-2122","Graduation","
  2022-09-20","
  Graduation Ceremony - Venue Deposit","
  1000
"
"2253192-2122","Medical Equipment","
  2022-12-30","
  Point of Care Ultra Sound Device","
  7000
"
"2253192-2122","Educational Materials","
  2022-12-30","
  E-Learning software/training for Point of Care Ultra Sound","
  5000
"
"2253285-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Resident Salaries","
  75000
"
"2253286-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Resident Salary","
  30000
"
"2253222-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Resident Salary","
  25000
"
"2253274-2021","Educational Materials","
  2022-07-15","
  5-24-2022 Cert pymt for resident R.Marchosky","
  236
"
"2253274-2021","Faculty Development","
  2022-07-15","
  6/21/2022 TEE Workshop for E. Hu, MD","
  1544.34
"
"2253274-2021","Educational Materials","
  2022-07-15","
  6/24/2022 Cert pymt for resident S. Cruise","
  409.5
"
"2253274-2021","Educational Materials","
  2022-07-15","
   5/17/2022 Cert pymt for resident N. Sarantopoulos","
  449.5
"
"2253274-2021","Faculty Development","
  2022-07-15","
  6/27/2022 J. Labha DO CORD","
  1703.59
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  4/19/2022 American Whitewater Resident Retreat 2022","
  4362.56
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  6/30/2022 RUHS Catering for EM resident lecture days","
  846.2
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  6/1/2022 T-Shirts for retreat","
  391.5
"
"2253274-2021","Faculty Development","
  2022-07-15","
  6/27/2022 TEE Workshop for J.Labha, DO","
  1495
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  6/15/2022 Retreat food and photos TFMinahan, DO","
  553.82
"
"2253274-2021","Meals","
  2022-07-15","
  5/2/2022 Resident Orientation June 2022","
  608.5
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  4/24/2022 Resident Retreat Travel","
  5147.48
"
"2253274-2021","Educational Materials","
  2022-07-15","
  4/8/2022 Cert pymt for resident D. Roth","
  960
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  2/16/2022 AAEM Conf pymnt for C. Lewsadder","
  1019.54
"
"2253274-2021","Educational Materials","
  2022-07-15","
  5/11/2022 Cert pymt for resident T. Burt","
  466
"
"2253274-2021","Resident Well-Being","
  2022-07-15","
  6/24/2022 Faculty/Resident Event","
  1100
"
"2253274-2021","Educational Materials","
  2022-07-15","
  6/26/2022 Buzzer purchase for educational event","
  495
"
"2253274-2021","Educational Workshops, Conferences or Retreat","
  2022-07-15","
  8/17/2022 EM Resident Suture Workshop materials","
  225.12
"
"2253274-2021","Meals","
  2022-07-15","
  6/26/2022 Resident Graduation supplies","
  127.54
"
"2253274-2021","Resident Well-Being","
  2022-07-15","
  8/24/2022","
  4622.66
"
"2253274-2021","Salaries, Benefits and Wages","
  2022-07-15","
  8/30/2022","
  20625
"
"2253274-2021","Salaries, Benefits and Wages","
  2022-07-15","
  7/30/2022","
  26198.25
"
"2253274-2021","Salaries, Benefits and Wages","
  2022-07-15","
  6/30/2022","
  31641.03
"
"2253274-2021","Salaries, Benefits and Wages","
  2022-07-15","
  9/30/2022","
  30729.56
"
"2253274-2021","Educational Materials","
  2022-07-15","
  9/27/2022","
  75402.6
"
"2253274-2021","Educational Materials","
  2022-07-15","
  9/15/2022","
  6254.59
"
"2253274-2021","Educational Materials","
  2022-07-15","
  9/29/2022","
  53874.27
"
"2253274-2021","Resident Well-Being","
  2022-07-15","
  9/8/2022","
  956.04
"
"2253274-2021","Unused Funds","
  2022-07-15","
  Expect to hire addtl faculty and staff","
  232858.53
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-07-18","
  Use of SIM Lab on UCR Campus","
  1008
"
"2253275-2021","Resident Well-Being","
  2022-07-18","
  Resident reimbursement for refreshments for wellness gathering","
  104.25
"
"2253275-2021","Educational Materials","
  2022-07-18","
  Resident reimbursement for medical textbooks","
  473.91
"
"2253275-2021","Recruitment","
  2022-07-25","
  IM Program jackets purchased for new IM interns","
  1947.05
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-07-28","
  AAIM registration fee for APD Dr. Nathaniel to attend Fall APDIM","
  1295
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-07-28","
  Resident reimbursement  for ACP conference registration fee","
  200
"
"2253275-2021","Meals","
  2022-07-28","
  PD reimbursement for lunch purchased for incoming IM interns and current PGY 1s pre-EPIC session","
  290.56
"
"2253275-2021","Licensing Fees","
  2022-08-05","
  Resident Reimbursement for PTL fees","
  798
"
"2253275-2021","Licensing Fees","
  2022-08-12","
  Resident Reimbursement for PTL fees","
  650
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-08-17","
  AAIM registration fee for IM coordinator to attend Fall APDIM","
  1095
"
"2253275-2021","Educational Materials","
  2022-08-22","
  MKSAP orders for IM faculty","
  6977
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-08-23","
  Deposit for IM Residency annual overnight retreat at UCLA Lake Arrowhead Conference Center","
  7627.5
"
"2253275-2021","Educational Materials","
  2022-08-23","
  UWorld Step 3 Q-bank 1 year subscription for new IM PGY 1 residents","
  3752
"
"2253275-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-24","
  30 1-year subscriptions to Sanford Guide Mobile App for IM residency program residents and faculty","
  1007.75
"
"2253275-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-30","
  UpToDate 1 year subscription purchase for IM residents","
  5668
"
"2253275-2021","Recruitment","
  2022-09-01","
  IM program jacket purchased for Chief resident","
  174.5
"
"2253275-2021","Resident Well-Being","
  2022-09-01","
  Deposit for 2022 holiday faculty &amp; resident wellness event 11/16/22","
  2000
"
"2253275-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-01","
  1-year TrueLearn subscription","
  1375
"
"2253275-2021","Travel","
  2022-09-25","
  Hotel booked for IM coordinator to attend Fall APDIM in San Diego","
  641.67
"
"2253275-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-28","
  1 year UpToDate subscription for 2 IM Chief Residents and 3 APDs","
  3708
"
"2253275-2021","Resident Well-Being","
  2022-09-28","
  Faculty member reimbursement for food purchased for resident/faculty mentor wellness dinner","
  75.15
"
"2253275-2021","Travel","
  2022-10-14","
  PD reimbursement for lodging, parking, and mileage for Fall APDIM meeting in San Diego","
  1254.08
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-10-14","
  Resident reimbursement of registration for ACP Southern Chapter Residents &amp; Medical Students Day","
  75
"
"2253275-2021","Resident Well-Being","
  2022-10-14","
  PD reimbursement for holding deposit for faculty/resident mentor bonding dinner 9/28/22","
  200
"
"2253275-2021","Travel","
  2022-10-14","
  APD Dr. Nathaniel reimbursement of lodging, parking, and mileage for Fall APDIM meeting in San Diego","
  773.72
"
"2253275-2021","Travel","
  2022-10-14","
  IM coordinator Michele Lynn reimbursement of mileage to and from Fall APDIM","
  130
"
"2253275-2021","Educational Materials","
  2022-10-14","
  MKSAP order for Internal Medicine Chief Dr. Heilbronn","
  792.65
"
"2253275-2021","Travel","
  2022-10-14","
  APD Dr. Skoretz reimbursement of registration, lodging, parking and mileage for Fall APDIM meeting in San Diego","
  2240.61
"
"2253275-2021","Resident Well-Being","
  2022-10-18","
  PD reimbursement for final payment for faculty/resident mentor bonding dinner 9/28/22","
  1111.41
"
"2253275-2021","Resident Well-Being","
  2022-11-01","
  Final payment for 2022 holiday faculty &amp; resident wellness event 11/16/22","
  2370.34
"
"2253275-2021","Medical Equipment","
  2022-11-10","
  PD reimbursement for ophthalmoscope purchased for IM residents to use in ambulatory clinic","
  1217.74
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-11-14","
  IM resident reimbursement for registration fee for National Chest Conference","
  519
"
"2253275-2021","Licensing Fees","
  2022-11-14","
  IM resident reimbursement for transcript fees related to obtaining PTL","
  65
"
"2253275-2021","Educational Workshops, Conferences or Retreat","
  2022-12-05","
  IM resident reimbursement for registration fee for National Chest Conference","
  544
"
"2253275-2021","Recruitment","
  2022-12-05","
  IM resident reimbursement for refreshments purchased for IM residents virtual social event with IM program applicants","
  287.17
"
"2253275-2021","Resident Well-Being","
  2022-12-19","
  IM chief resident Dr. Park reimbursement for food &amp; decorations purchased for a holiday dinner for the IM residents working in the hospital over the Thanksgiving holiday","
  162.58
"
"2253275-2021","Unused Funds","
  2022-12-30","
  Unused Funds- Remainder to be used for payment for resident salaries and benefits, payment for simulation equipment, payment for faculty development, and payment for resident recruitment and retention activities","
  382001.16
"
"2253275-2122","Unused Funds","
  2022-12-30","
  Unused Funds- Remainder to be used for payment for resident salaries and benefits, payment for simulation equipment, payment for faculty development, and payment for resident recruitment and retention activities","
  112500
"
"2253194-1920","Meals","
  2022-07-02","
  Recruitment Meals ","
  13191.84
"
"2253194-1920","Salaries, Benefits and Wages","
  2022-09-01","
  Melody Avakian ","
  11808.16
"
"2253194-2021","Salaries, Benefits and Wages","
  2022-09-01","
  Mimi Hoang ","
  12500
"
"2253194-2021","Salaries, Benefits and Wages","
  2022-08-01","
  Crystal Fame ","
  12500
"
"2253194-2122","Meals","
  2022-10-01","
  Resident meal stipend ","
  10800
"
"2253194-2122","Salaries, Benefits and Wages","
  2022-12-01","
  Jane Kang ","
  20000
"
"2253194-2122","Unused Funds","
  2022-12-30","
  Unused Funds ","
  44200
"
"2253157-1819","Salaries, Benefits and Wages","
  2022-12-30","
  Resident Salaries","
  93750
"
"2253157-1819","Travel","
  2022-09-27","
  Travel for offsite rotation","
  1545
"
"2253157-1819","Educational Materials","
  2022-07-02","
  Amazon - textbooks 1 residents","
  201.49
"
"2253157-1819","Meals","
  2022-07-07","
  Meals for resident didactics","
  443.35
"
"2253157-1819","Meals","
  2022-07-07","
  Meals for resident didactics","
  437.56
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-07-08","
  Journal feed subscription - 1 resident","
  132
"
"2253157-1819","Educational Materials","
  2022-07-08","
  American Academy of Pediatrics training material - 1 resident","
  76.95
"
"2253157-1819","Licensing Fees","
  2022-07-11","
  CA Medical License - 1 Resident","
  456.5
"
"2253157-1819","Educational Materials","
  2022-07-02","
  Amazon textbooks - 1 resident","
  348.91
"
"2253157-1819","Educational Materials","
  2022-07-15","
  Amazon board prep - 1 resident","
  314.26
"
"2253157-1819","Educational Materials","
  2022-08-03","
  HIPPO Educuation Board Prep - 34 residents","
  3230
"
"2253157-1819","Educational Materials","
  2022-07-14","
  Amazon board prep - 1 resident","
  365.03
"
"2253157-1819","Educational Materials","
  2022-07-08","
  Amazon board prep - 1 resident","
  506.69
"
"2253157-1819","Meals","
  2022-07-07","
  Meals for resident didactics","
  443.35
"
"2253157-1819","Meals","
  2022-07-07","
  Meals for resident didactics","
  437.56
"
"2253157-1819","Licensing Fees","
  2022-07-11","
  CA Medical License - 1 Resident","
  456.5
"
"2253157-1819","Recruitment","
  2022-07-11","
  American College of Emergency Physicians EMRA Virtual Booth ","
  275
"
"2253157-1819","Licensing Fees","
  2022-08-11","
  CA Medical License - 1 Resident","
  456.5
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-24","
  EMRA Subscriptions - 1 resident","
  105
"
"2253157-1819","Educational Materials","
  2022-08-15","
  Council of Residency Directors in Emergency Medicine - EM Coach Software for Program Director","
  500
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-11","
  EMRA Subscriptions - 1 resident","
  105
"
"2253157-1819","Licensing Fees","
  2022-09-16","
  CA Medical License - 1 Resident","
  456.5
"
"2253157-1819","Educational Materials","
  2022-09-30","
  Amazon textbooks - 1 resident","
  362.49
"
"2253157-1819","Educational Materials","
  2022-08-16","
  Amazon textbooks - 1 resident","
  515.54
"
"2253157-1819","Meals","
  2022-07-26","
  Meals for resident didactics","
  598
"
"2253157-1819","Educational Materials","
  2022-08-11","
  UWorld Step 3 QBank - 1 resident","
  449
"
"2253157-1819","Educational Materials","
  2022-08-11","
  UWorld Step 3 QBank - 1 resident","
  449
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-11","
  EMRA Subscriptions - 1 resident","
  105
"
"2253157-1819","Educational Materials","
  2022-07-11","
  NRP Training Curriculum","
  45
"
"2253157-1819","Meals","
  2022-08-11","
  Meals for resident didactics","
  598
"
"2253157-1819","Meals","
  2022-08-31","
  Meals for resident didactics","
  437.56
"
"2253157-1819","Meals","
  2022-08-24","
  Meals for resident didactics","
  570.23
"
"2253157-1819","Educational Materials","
  2022-08-15","
  Amazon textbooks - 1 resident","
  182.09
"
"2253157-1819","Licensing Fees","
  2022-08-26","
  CA Medical License - 1 Resident","
  910
"
"2253157-1819","Licensing Fees","
  2022-08-22","
  CA Medical License - 1 Resident","
  456
"
"2253157-1819","Educational Materials","
  2022-08-11","
  Canopy Level 3 Curriculum - 1 resident","
  595
"
"2253157-1819","Educational Materials","
  2022-08-23","
  UWorld Step 3 QBank - 1 resident","
  549
"
"2253157-1819","Licensing Fees","
  2022-08-24","
  DEA License -1 Resident ","
  888
"
"2253157-1819","Educational Materials","
  2022-08-29","
  Amazon textbooks - 1 resident","
  498.81
"
"2253157-1819","Educational Materials","
  2022-08-30","
  UWorld Step 3 QBank - 1 resident","
  449
"
"2253157-1819","Educational Materials","
  2022-08-30","
  Amazon textbooks - 1 resident","
  156.98
"
"2253157-1819","Meals","
  2022-09-07","
  Meals for resident didactics","
  558
"
"2253157-1819","Meals","
  2022-09-15","
  Meals for resident didactics","
  596.92
"
"2253157-1819","Meals","
  2022-09-06","
  Meals for resident didactics","
  324.51
"
"2253157-1819","Educational Materials","
  2022-09-26","
  Amazon textbooks - 1 resident","
  146.53
"
"2253157-1819","Educational Materials","
  2022-09-19","
  Amazon textbooks - 1 resident","
  206.07
"
"2253157-1819","Meals","
  2022-09-19","
  Meals for resident didactics","
  245
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-20","
  ACEP Membership - 1 faculty member","
  876
"
"2253157-1819","Educational Materials","
  2022-09-20","
  UWorld Step 3 QBank - 1 resident","
  139
"
"2253157-1819","Licensing Fees","
  2022-09-20","
  Step 3 Fee","
  70
"
"2253157-1819","Educational Materials","
  2022-09-23","
  Amazon textbooks - 1 resident","
  265.96
"
"2253157-1819","Meals","
  2022-09-23","
  Meals for resident didactics","
  558
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-26","
  ECG Weekly Annual Subscription - 1 resident","
  26
"
"2253157-1819","Scholarship","
  2022-10-04","
  Publication Fee - 1 Faculty member","
  1515
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-10-04","
  EMRAP Subscription - 1 resident","
  254
"
"2253157-1819","Meals","
  2022-10-11","
  Meals for resident didactics","
  596.92
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-10-11","
  UWorld Step 3 QBank - 1 resident","
  549
"
"2253157-1819","Licensing Fees","
  2022-10-17","
  NBOME Comlex 3 fee - 1 resident","
  890
"
"2253157-1819","Licensing Fees","
  2022-10-27","
  DEA License -1 Resident ","
  888
"
"2253157-1819","Meals","
  2022-10-25","
  Meals for resident didactics","
  457.56
"
"2253157-1819","Licensing Fees","
  2022-10-27","
  ATLS Certification - 1 resident","
  1000
"
"2253157-1819","Licensing Fees","
  2022-10-27","
  CA Medical License - 1 Resident","
  456.6
"
"2253157-1819","Educational Materials","
  2022-10-27","
  Rosh Review Board Prep - Program Director","
  756
"
"2253157-1819","Licensing Fees","
  2022-10-27","
  CA Medical License - 1 faculty member","
  447
"
"2253157-1819","Meals","
  2022-10-27","
  Meals for resident didactics","
  598
"
"2253157-1819","Licensing Fees","
  2022-11-16","
  NCCHC Exam Fee - 1 faculty member","
  220
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-02","
  VisualDX Subscription - Program Director","
  1498
"
"2253157-1819","Meals","
  2022-11-16","
  Meals for resident didactics","
  518
"
"2253157-1819","Meals","
  2022-11-10","
  Meals for resident didactics","
  613.72
"
"2253157-1819","Licensing Fees","
  2022-11-07","
  UWorld Step 3 QBank - 1 resident","
  449
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-11-22","
  AMA Membership - Program Director","
  420
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-11-07","
  AMA Membership - 1 Faculty member","
  420
"
"2253157-1819","Licensing Fees","
  2022-12-08","
  DEA License -1 Resident ","
  888
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-08","
  CORD Membership - Program Director","
  975
"
"2253157-1819","Meals","
  2022-11-18","
  Meals for resident didactics","
  507.06
"
"2253157-1819","Licensing Fees","
  2022-12-08","
  Step 3 Exam fees","
  915
"
"2253157-1819","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-08","
  Wilderness Medical Society Membership - 1 resident","
  117
"
"2253157-1819","Licensing Fees","
  2022-12-08","
  ATLS Certification - 4 residents","
  2800
"
