Grant ID,table
2253185-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-12-29</Date>
			<Description>Breakfast for weekly EM Conference - Sept, Oct, Nov, Dec</Description>
			<Amount>3468.33</Amount>
		</Row>
		<Row>
			<Expense-Category>Medical Equipment</Expense-Category>
			<Date>2022-10-04</Date>
			<Description>Slit Lamp and cart - SIM</Description>
			<Amount>1030.74</Amount>
		</Row>
		<Row>
			<Expense-Category>Faculty Development</Expense-Category>
			<Date>2022-10-09</Date>
			<Description>ACEP Conference - registration, lodging, travel, and meals</Description>
			<Amount>8935.44</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Workshops, Conferences or Retreat</Expense-Category>
			<Date>2022-09-29</Date>
			<Description>2022 - Annual EM Program Retreat - lodging, travel, meals, activities</Description>
			<Amount>11565.49</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253185-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Contractual and Consultant Costs</Expense-Category>
			<Date>2022-09-15</Date>
			<Description>Thalamus Interview Scheduling / Virtual Interview Software</Description>
			<Amount>1585</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-08-22</Date>
			<Description>Cadaver Day - procedure training</Description>
			<Amount>8225</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-07-29</Date>
			<Description>HIPPO Education - Emergency Medicine Board Review</Description>
			<Amount>6403</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-07-05</Date>
			<Description>ROSH Review - EM Question Bank</Description>
			<Amount>7000</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Workshops, Conferences or Retreat</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>ACGME Conference registration for program coordinator</Description>
			<Amount>1190</Amount>
		</Row>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-10-20</Date>
			<Description>Weekly EM Conference Breakfast</Description>
			<Amount>300</Amount>
		</Row>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-10-27</Date>
			<Description>Weekly EM Conference Breakfast</Description>
			<Amount>297</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253185-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Travel</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Lodging and Travel for program coordinator for ACGME Conf</Description>
			<Amount>1635.71</Amount>
		</Row>
		<Row>
			<Expense-Category>Recruitment</Expense-Category>
			<Date>2022-08-23</Date>
			<Description>Swag for residency recruitment fairs</Description>
			<Amount>1962.5</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>ACGME program dues</Description>
			<Amount>6050</Amount>
		</Row>
		<Row>
			<Expense-Category>Medical Equipment</Expense-Category>
			<Date>2022-10-05</Date>
			<Description>Femoral Line Man - SIM </Description>
			<Amount>2168.78</Amount>
		</Row>
		<Row>
			<Expense-Category>Faculty Development</Expense-Category>
			<Date>2022-09-01</Date>
			<Description>Cal ACEP Conf - registration, lodging, mileage, and meals </Description>
			<Amount>2620.2</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Workshops, Conferences or Retreat</Expense-Category>
			<Date>2022-09-01</Date>
			<Description>Cal ACEP Conf intern class - registration, lodging, mileage, and meals</Description>
			<Amount>2589.62</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-07-25</Date>
			<Description>EM Coach - exam prep</Description>
			<Amount>500</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>22-23 Intern Meet &amp; Greet</Description>
			<Amount>2140.59</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>22-23 EM Family Social Event</Description>
			<Amount>412.81</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-07-23</Date>
			<Description>PGY2 Wellness Day</Description>
			<Amount>1081.19</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-11-18</Date>
			<Description>PGY1 Wellness Day</Description>
			<Amount>1434.85</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-12-16</Date>
			<Description>PGY3 Wellness Day</Description>
			<Amount>1011.64</Amount>
		</Row>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-12-09</Date>
			<Description>Food for monthly Journal Club (July, Aug, Sept, Oct, Nov, Dec)</Description>
			<Amount>3843.65</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-10-04</Date>
			<Description>Journal Feed - Subscription for articles for Journal Club/Resource</Description>
			<Amount>2475</Amount>
		</Row>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-11-03</Date>
			<Description>Food for weekly EM Conference</Description>
			<Amount>73.46</Amount>
		</Row>
		<total>
			<Amount>30000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>30000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>30000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253270-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-07-04</Date>
			<Description>Salaries &amp; Benefits (07/01/22-12/31/22)</Description>
			<Amount>22554.32</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Future Training and Education Expenses </Description>
			<Amount>16569.03</Amount>
		</Row>
		<total>
			<Amount>39123.35</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>39123.35</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>39123.35</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253161-1819,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>50000</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of benefits and salary for PD</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>75000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>75000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>75000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253161-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>50000</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253161-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of benefits and salary for PD</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253161-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2022-08-08</Date>
			<Description>Step 3 exam fees</Description>
			<Amount>3670</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Workshops, Conferences or Retreat</Expense-Category>
			<Date>2022-07-30</Date>
			<Description>CCU Cedars-Sinai rotation/conference </Description>
			<Amount>7812</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-09-10</Date>
			<Description>American College of Emergency membership fees</Description>
			<Amount>2940</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>10578</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253217-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>50000</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253217-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of benefits and salary for PD</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253217-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-07-23</Date>
			<Description>American College of Physicians membership fees </Description>
			<Amount>12214</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-08-03</Date>
			<Description>Books </Description>
			<Amount>1549</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>36237</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253239-1819,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of benefits and salary for PD</Description>
			<Amount>37500</Amount>
		</Row>
		<total>
			<Amount>37500</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>37500</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>37500</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253239-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>45000</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>45000</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-10-01</Date>
			<Description>retreat for residents </Description>
			<Amount>10000</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-07-22</Date>
			<Description>MKSAP Review </Description>
			<Amount>5000</Amount>
		</Row>
		<total>
			<Amount>105000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>105000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>105000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253239-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>45000</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>45000</Amount>
		</Row>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2022-07-18</Date>
			<Description>Certification Exam Fees</Description>
			<Amount>4400</Amount>
		</Row>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2022-07-28</Date>
			<Description>Step 3 exam fees</Description>
			<Amount>5600</Amount>
		</Row>
		<total>
			<Amount>100000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>100000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>100000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253239-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-01</Date>
			<Description>Portion of 1 resident salary &amp; benefits</Description>
			<Amount>50000</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253280-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-12-21</Date>
			<Description>Group Meal for Holiday Resident Team Building Activity</Description>
			<Amount>151.71</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-08-22</Date>
			<Description>UWorld Family Medicine QBank Subscriptions</Description>
			<Amount>5540</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-07-04</Date>
			<Description>GME Salary Support for FM Core Faculty Dr. Rajit Gohil</Description>
			<Amount>19308.29</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253221-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-07-04</Date>
			<Description>GME Salary Support for IM Program Director Dr. Jose Penaherrera</Description>
			<Amount>60000</Amount>
		</Row>
		<total>
			<Amount>60000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>60000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>60000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253221-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-10-19</Date>
			<Description>ACP MKSAP 19 Digital Access for IM Resident Board Preparation</Description>
			<Amount>4059</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-08-22</Date>
			<Description>UWorld ABIM Subscriptions  for IM Resident Board Preparation</Description>
			<Amount>6290</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-07-04</Date>
			<Description>GME Salary Support for IM Endocrinology faculty Dr. Uzma Haider</Description>
			<Amount>39651</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253163-1819,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Reimbursement for residents to get licenses in California</Description>
			<Amount>5109.26</Amount>
		</Row>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Meals provided for conferences; food on shifts at outside rotations and over night food supplies for rounds room when the hospital cafeteria is closed </Description>
			<Amount>7865</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Professional society membership reimbursement; subscriptions to survey services for residents to collect data to improve the program</Description>
			<Amount>3100.48</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Supports mentoership groups or residents; team building actities</Description>
			<Amount>5371.01</Amount>
		</Row>
		<Row>
			<Expense-Category>Recruitment</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Reimbursement for events to recruit applicants to the program including support equipment for virtual recruitment; department logo items</Description>
			<Amount>11910.73</Amount>
		</Row>
		<Row>
			<Expense-Category>Scholarship</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Travel and boarding reimbursement for applicant, specifically targeting underrepresented minorities in medicine</Description>
			<Amount>6000</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Supports faculty and staff who directly assist with management of the training program and social EM rotation</Description>
			<Amount>16196.78</Amount>
		</Row>
		<Row>
			<Expense-Category>Travel</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: travel to conferences and Uber/Lyft rides for transport while fatigued</Description>
			<Amount>332.2</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Benefits to residents include team building clothing and activities and assistance with alimni connections</Description>
			<Amount>14771.21</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-08-01</Date>
			<Description>Continue to employ our part time worer to assist with research project management for residents</Description>
			<Amount>5067.07</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-08-01</Date>
			<Description>Pay faculty to continue to monitor the Social EM rotation</Description>
			<Amount>6000</Amount>
		</Row>
		<total>
			<Amount>81723.74</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>81723.74</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>81723.74</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253163-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Multiple dates: Books and review courses for other reisdents to enhance learning in targeted areas</Description>
			<Amount>2296.46</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-11-01</Date>
			<Description>ROSH Board review education material for senior residents</Description>
			<Amount>5985</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Workshops, Conferences or Retreat</Expense-Category>
			<Date>2022-07-12</Date>
			<Description>Multiple dates: National conference attendance for senior residents, leadership conferences and reimbursement for residents presenting research</Description>
			<Amount>22165.32</Amount>
		</Row>
		<Row>
			<Expense-Category>Faculty Development</Expense-Category>
			<Date>2022-07-02</Date>
			<Description>Reimbursement for faculty development in areas that encourage resident participation in research and educational projects</Description>
			<Amount>2642.35</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-08-01</Date>
			<Description>Memberships for website and virtual tour glasses. Related to recruitment but fess formemberships</Description>
			<Amount>913.11</Amount>
		</Row>
		<Row>
			<Expense-Category>Insurance</Expense-Category>
			<Date>2022-07-20</Date>
			<Description>Medical Insurance tail fro resident with medical need and unable to be insured for first several months of training. Allowed for continuity in treatment</Description>
			<Amount>3868.41</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Only the first $37,500 was deposited and we try not to spend what we do not have. Plans for faculty development for our admin staff ($6,000) </Description>
			<Amount>6000</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>New cheif resident leadership conference in March ($6000), </Description>
			<Amount>6000</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Multiple dates: Admin staff assistance ($8000)</Description>
			<Amount>8000</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Support for research day posters and projects for residents</Description>
			<Amount>2000</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Depposit for department wide retreat</Description>
			<Amount>15129.35</Amount>
		</Row>
		<total>
			<Amount>75000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>75000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>75000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
